Position,TeamName,CumulativePoints
1,McLaren,642.0
2,Mercedes,319.0
3,Red Bull Racing,304.0
4,Ferrari,302.0
5,Williams,99.0
6,Racing Bulls,68.0
7,Aston Martin,65.0
8,Kick Sauber,59.0
9,Haas F1 Team,42.0
10,Alpine,19.0
