Position,TeamName,CumulativePoints
1,McLaren,256.0
2,Mercedes,133.0
3,Red Bull Racing,122.0
4,Ferrari,96.0
5,Williams,51.0
6,Haas F1 Team,20.0
7,Aston Martin,10.0
8,Racing Bulls,7.0
9,Kick Sauber,6.0
10,Alpine,6.0
