Position,TeamName,CumulativePoints
1,McLaren,581.0
2,Ferrari,257.0
3,Mercedes,246.0
4,Red Bull Racing,222.0
5,Williams,83.0
6,Aston Martin,58.0
7,Racing Bulls,57.0
8,Kick Sauber,55.0
9,Haas F1 Team,38.0
10,Alpine,19.0
