Position,TeamName,CumulativePoints
1,McLaren,548.0
2,Ferrari,237.0
3,Mercedes,234.0
4,Red Bull Racing,197.0
5,Williams,77.0
6,Aston Martin,58.0
7,Racing Bulls,56.0
8,Kick Sauber,51.0
9,Haas F1 Team,38.0
10,Alpine,19.0
