Position,TeamName,CumulativePoints
1,McLaren,614.0
2,Mercedes,311.0
3,Ferrari,275.0
4,Red Bull Racing,273.0
5,Williams,99.0
6,Racing Bulls,68.0
7,Aston Martin,64.0
8,Kick Sauber,55.0
9,Haas F1 Team,40.0
10,Alpine,19.0
