Position,TeamName,CumulativePoints
1,McLaren,351.0
2,Mercedes,185.0
3,Ferrari,165.0
4,Red Bull Racing,153.0
5,Williams,55.0
6,Haas F1 Team,28.0
7,Racing Bulls,25.0
8,Kick Sauber,20.0
9,Aston Martin,18.0
10,Alpine,10.0
