Position,TeamName,CumulativePoints
1,McLaren,394.0
2,Mercedes,195.0
3,Ferrari,192.0
4,Red Bull Racing,153.0
5,Williams,55.0
6,Racing Bulls,33.0
7,Haas F1 Team,29.0
8,Kick Sauber,26.0
9,Aston Martin,24.0
10,Alpine,10.0
