Position,TeamName,CumulativePoints
1,McLaren,70.0
2,Mercedes,50.0
3,Red Bull Racing,30.0
4,Williams,17.0
5,Haas F1 Team,14.0
6,Aston Martin,10.0
7,Kick Sauber,6.0
8,Ferrari,5.0
9,Alpine,0.0
10,Racing Bulls,0.0
