Position,TeamName,CumulativePoints
1,McLaren,523.0
2,Ferrari,237.0
3,Mercedes,222.0
4,Red Bull Racing,177.0
5,Williams,67.0
6,Kick Sauber,51.0
7,Aston Martin,48.0
8,Racing Bulls,41.0
9,Haas F1 Team,29.0
10,Alpine,19.0
