Position,TeamName,CumulativePoints
1,McLaren,296.0
2,Red Bull Racing,134.0
3,Mercedes,133.0
4,Ferrari,124.0
5,Williams,54.0
6,Haas F1 Team,26.0
7,Racing Bulls,19.0
8,Aston Martin,10.0
9,Kick Sauber,6.0
10,Alpine,6.0
